ID,Treatment,Location,Colony,fvfm,alpha,etrM,ynpq,etr
1,C,N,1,-0.00025,-0.00875,-0.731805556,0.088333333,-0.874916667
2,C,N,2,-0.084555555,0.008777778,2.916,0.006111111,4.456333333
3,C,N,3,-0.195527778,-0.054527778,-13.25066667,-0.014333333,-13.18755556
4,C,N,4,-0.061666667,0.004,-8.324444444,-0.005111111,-8.912444444
5,C,S,5,0.021805556,0.011194445,12.69055556,-0.056888889,-2.376027778
6,C,S,6,0.043027778,-0.010222222,-0.781638889,-0.037555556,-0.781638889
7,C,S,7,0.044955556,-0.000866667,-1.589055556,-0.036,-0.102222222
8,C,S,8,0.028,0.016444445,9.942777778,-0.021222222,9.942777778
9,HS,N,3,-0.007291667,0.006208333,18.19729167,0.069166667,18.19729167
10,HT,S,6,-0.084,-0.079666667,-14.10283333,0.051666667,-14.10283333
11,HX,S,6,-0.054666667,-0.066,-12.14133333,-0.008666667,-12.14133333
12,HS,N,2,-0.137458334,-0.008083334,-4.082166667,0.173,-4.890666667
13,HT,S,7,0.021833334,-0.003166667,12.658,0.123166667,12.658
14,HX,S,7,-0.0245,0.009333333,10.47366667,-0.052333333,10.47366667
15,HS,N,1,-0.046333334,-0.019166667,0.5555,0.074666667,0.7615
16,HT,S,5,-0.087083334,-0.014875,-4.4265,0.006833333,-1.459333333
17,HX,S,5,-0.092666667,-0.006666667,-20.02283333,0.012166667,-20.02283333
18,HS,N,4,-0.0145,0.012333333,-5.562666667,0.0215,-5.461833333
19,HT,S,8,-0.034666667,-0.0175,-2.251166667,0.007333333,-2.251166667
20,HX,S,8,-0.046333333,-0.033,-16.1185,0.033,-16.1185
21,HS,S,6,-0.008375,-0.032666667,0.939,0.066,1.042375
22,HT,N,3,-0.032,-0.049,-9.419,0.1425,-9.419
23,HX,N,3,-0.012041667,-0.03625,-13.75433333,0.096833333,-13.75433333
24,HS,S,8,-0.046666667,0.007666667,5.713833333,0.007666667,5.713833333
25,HT,N,4,-0.0595,-0.046166667,-5.6095,-0.062,-5.6095
26,HX,N,4,-0.047583333,0.014208334,-2.32125,-0.022166667,-2.32125
27,HS,S,7,-0.007,-0.003833333,-6.0965,-0.018666667,-6.0965
28,HT,N,2,0.0035,-0.029,-2.653,0.018666667,-2.653
29,HX,N,2,-0.0475,0.0155,-10.1665,-0.022833333,-10.1665
30,HS,S,5,0.015,0.014833334,3.836666667,0.017333333,3.836666667
31,HT,N,1,-0.061,-0.107,-32.394375,0.024833333,-19.27316667
32,HX,N,1,-0.041,-0.016166667,-6.128333333,0.079666667,-6.128333333