Colony,Location,Treatment,mean_BW,sd_BW,n,Temp,Sed
1,N,C,9.932073824,10.87871722,3,C,C
1,N,HS,-0.721410511,2.238328066,2,C,H
1,N,HT,0.645994832,0.913574653,2,H,C
1,N,HX,1.679223388,3.394155954,2,H,H
2,N,C,11.09346907,13.18291756,3,C,C
2,N,HS,5.949472297,2.511430577,2,C,H
2,N,HT,-0.167224081,0.236490563,2,H,C
2,N,HX,-0.26713411,0.804009382,2,H,H
3,N,C,6.942879024,12.69274527,3,C,C
3,N,HS,-1.239893773,2.758601499,2,C,H
3,N,HT,-7.161007161,11.63810537,2,H,C
3,N,HX,-3.569415383,7.399060387,2,H,H
4,N,C,8.273231756,8.027767728,3,C,C
4,N,HS,2.876246672,0.131967788,2,C,H
4,N,HT,-2.075539031,3.983597598,2,H,C
4,N,HX,0.906892382,1.282539506,2,H,H
5,S,C,-3.296558477,12.08791218,3,C,C
5,S,HS,-0.852847304,1.848348715,2,C,H
5,S,HT,-4.977876106,7.039779901,2,H,C
5,S,HX,-8.232095984,13.55562726,2,H,H
6,S,C,-21.32157444,20.04236735,3,C,C
6,S,HS,9.191320917,10.19251141,2,C,H
6,S,HT,2.503957336,6.919029061,2,H,C
6,S,HX,-7.860151173,10.00674528,2,H,H
7,S,C,-8.344174529,12.93078252,3,C,C
7,S,HS,1.259100908,1.145321514,2,C,H
7,S,HT,2.871886468,3.297846558,2,H,C
7,S,HX,3.350902656,3.84944949,2,H,H
8,S,C,-8.117541822,12.0752017,3,C,C
8,S,HS,2.097112137,1.157307184,2,C,H
8,S,HT,-0.979121958,3.728687932,2,H,C
8,S,HX,1.672372131,7.260445988,2,H,H