Date,Time,Temp,Salinity,DO,pH
6/29,07:56,26.8,34.31,94.4,7.87
6/29,13:48,28.5,34.32,96.3,7.93
6/29,16:00,28.9,34.28,98.2,7.97
6/30,06:27,26.9,34.28,84.5,7.81
6/30,18:12,27.7,34.28,100,7.92
7/1,07:33,26.6,34.3,92.2,7.81
7/1,13:05,27.7,34.34,103.9,7.96
7/2,09:20,26.9,34.28,100.1,7.92
7/3,14:20,27.2,34.31,103,7.92
7/3,18:17,27.3,33.44,105.2,7.98
7/4,07:19,26,34.3,97.9,7.82
7/4,10:20,25.7,32.97,109.2,7.97
7/4,16:29,26.9,34.29,102.9,7.95
7/5,07:16,25.9,34.28,98.2,7.85
7/6,07:44,26.4,32.38,101.1,7.79
7/6,12:33,27.3,32.06,121.2,8.01
7/7,08:00,26.5,34.32,101.2,7.81
7/8,09:34,26.5,34.29,105.6,7.85
7/8,14:07,27.8,33.8,115.1,7.9
7/9,10:55,27.3,34.27,114,7.92
7/11,09:10,26.7,31.8,95.5,7.73
7/12,06:48,26,34.18,79.8,7.75
7/13,07:42,26.5,34.13,94.4,7.81
7/13,14:39,27.8,32.63,107.7,7.84
7/14,07:16,26.5,34.22,81.7,7.81
7/15,07:27,26.6,34.01,96.4,7.81
7/15,11:24,27.3,32.73,104.1,7.91
7/16,07:00,26.6,34.24,86.3,7.78
7/17,08:30,26.7,34.35,84.5,7.91
7/18,08:11,26.6,34.32,91.9,7.9
7/18,14:45,27.4,33.61,96.6,7.97
7/19,07:00,26.2,34.27,94.1,7.83
7/20,08:08,26.1,34.33,100.5,7.8
7/20,15:08,27.5,33.55,55.5,7.98
7/20,15:40,27.5,33.5,92.1,7.98
7/21,06:33,26.1,34.01,81.5,7.75
7/22,08:30,26.1,33.99,95.5,7.81
7/23,07:00,25.9,34,80.9,7.75
7/25,08:30,26.8,33.98,100,7.9
7/25,14:00,27.8,34.05,97.3,8.08
7/26,07:00,26.2,34.01,81.4,7.77
7/27,13:25,28,34.06,90,8.03
7/27,18:46,27.2,34.04,92.1,8.02
7/28,07:06,26.4,34.02,80.2,7.86
7/29,12:39,27.1,34.05,97.4,8.02
7/29,17:12,27.5,34.06,97,7.89
7/31,08:00,26,34.04,103.1,7.78
8/1,10:22,26.6,34.07,105.1,7.89
8/1,10:34,26.6,34.07,100.4,8
8/1,14:05,27.5,34.06,101.6,8
8/2,07:00,26.1,34.04,86.2,7.87
8/3,13:30,27.1,34.04,102.4,8.09
8/4,07:00,26,34.04,81.8,7.89
8/6,07:52,26,34.07,101,8
8/7,13:06,26.7,34.08,97,8.14
8/8,07:53,25.9,34.05,105.3,7.99