Treatment,Colony,mean_Gnet,Location,Temp,Sed
C,1,0.137232831,N,C,C
C,2,0.013426523,N,C,C
C,3,0.805856015,N,C,C
C,4,0.069138244,N,C,C
C,5,-0.057682483,S,C,C
C,6,-1.981917533,S,C,C
C,7,0.058322847,S,C,C
C,8,0.58126356,S,C,C
HS,1,0.899919975,N,C,H
HS,2,0.268479251,N,C,H
HS,3,0.242889142,N,C,H
HS,4,-0.000576194,N,C,H
HS,5,0.222843823,S,C,H
HS,6,0.083978951,S,C,H
HS,7,-0.019079447,S,C,H
HS,8,-0.454433352,S,C,H
HT,1,0.223511498,N,H,C
HT,2,0.324816425,N,H,C
HT,3,0.348592728,N,H,C
HT,4,0.081933458,N,H,C
HT,5,0.09858224,S,H,C
HT,6,1.953272767,S,H,C
HT,7,0.053108138,S,H,C
HT,8,-0.008139067,S,H,C
HX,1,0.167669815,N,H,H
HX,2,-0.066994854,N,H,H
HX,3,0.301693747,N,H,H
HX,4,-0.081687158,N,H,H
HX,5,-0.291597836,S,H,H
HX,6,0.34487597,S,H,H
HX,7,0.142885591,S,H,H
HX,8,0.129211481,S,H,H